ID,Greek,Declension,Article,English,Note,Transliteration,Type,Frequency,Tag
1,ἄνθρωπος,-ου,ὁ,a man,anthropology,anthrōpos,Noun,550,500+
2,ἀπό,,,(+ gen.) from,"apostasy, standing [στῆναι] off from",apo,Preposition,646,500+
3,αὐτός,"-ή, -ό",,"himself, herself, itself, same; he, she, it","autosoterism, the doctrine that man is saved by his own efforts or character",autos,Pronoun,5597,500+
4,γάρ,,,for,,gar,Conjunction,1041,500+
5,γίνομαι,,,"I become, am",,ginomai,Verb,669,500+
6,δέ,,,"but, and",,de,Particle,2792,500+
7,διά,,,(+ gen.) through; (+ acc.) on account of,"diameter, measure across or through",dia,Preposition,667,500+
8,ἐγώ,,,I,egotism,egō,Pronoun,2666,500+
9,εἰμί,,,I am,,eimi,Verb,2462,500+
10,εἶπον,,,I said,cf. epic,eipon,Verb,986,500+
11,εἰς,,,(+ acc.) into,"eisegesis, faulty interpretation of a text by reading into it one’s own ideas",eis,Preposition,1767,500+
12,ἐκ,ἐξ,,"(+ gen.) out of, from","ecstasy, state of being [literally, standing, στῆναι] out of one’s senses; exodus, a going [literally, a way, ὁδός] out",ek,Preposition,914,500+
13,ἐν,,,(+ dat.) in,"enthusiast, one possessed or inspired by a god [ἔνθεος]",en,Preposition,2752,500+
14,ἐπί,,,"(+ gen.) over, on, at the time of; (+ dat.) on the basis of, at; (+ acc.) on, to, against","epidermis, upon the skin [δέρμα]",epi,Preposition,890,500+
15,ἔρχομαι,,,"I come, go",,erchomai,Verb,634,500+
16,ἔχω,,,"I have, hold",,echō,Verb,708,500+
17,θεός,-οῦ,ὁ,"a god, God",theology,theos,Noun,1317,500+
18,ἵνα,,,"in order that, that",,hina,Conjunction,663,500+
19,καί,,,"and, even, also",,kai,Conjunction,9161,500+
20,κατά,,,"(+ gen.) down from, against; (+ acc.) according to, throughout, during","cataclysm, a washing down or against",kata,Preposition,500,500+
21,κύριος,-ου,ὁ,"a lord, the Lord",,kyrios,Noun,717,500+
22,λέγω,,,"I say, speak",all words ending in -ologue or -ology,legō,Verb,2354,500+
23,μή,,,"not, lest",,mē,Particle,1042,500+
24,ὁ,"ἡ, τό",,the,,ho,Definite Article,19867,500+
25,ὅς,"ἥ, ὅ",,"who, which",,hos,Relative pronoun,1398,500+
26,ὅτι,,,"that, because",,hoti,Conjunction,1296,500+
27,οὗτος,"αὕτη, τοῦτο",,"this; he, her, it",,houtos,Near Demonstrative Pronoun,1387,500+
28,οὐ,"οὐκ, οὐχ",,not,"utopia, no place [τόπος]",ou,Negation Particle,1606,500+
29,πᾶς,"πᾶσα, πᾶν",,"every, all",Pan-American,pas,Adjective,1243,500+
30,ποιέω,,,"I do, make","poem; pharmacopoeia, making of drugs",poieō,Verb,568,500+
31,πρός,,,"(+ acc.) to, towards, with","proselyte, one who has come [root of ἐλθεῖν] to another religion",pros,Preposition,700,500+
32,σύ,,,thou,,sy,Pronoun,2907,500+
33,τίς,τί,,who? what? which? why?,,tis,Interrogative Pronoun,556,500+
34,τις,τι,,"someone, something, a certain one, a certain thing, anyone, anything",,tis,Indefinite Pronoun,556,500+
35,ὡς,,,"as, that, how, about",,hōs,Particle or Conjunction,504,500+
36,ἅγιος,"-α, -ον",,"holy; plural as a noun, saints","Hagiographa, books of the Hebrew Scriptures not included under Law and Prophets",hagios,Adjective,233,201 - 500
37,ἀδελφός,-οῦ,ὁ,brother,"Philadelphia, [city of] brotherly love [φιλία]",adelphos,Noun,343,201 - 500
38,ἀκούω,,,I hear,acoustics,akouō,Verb,428,201 - 500
39,ἀλλά,,,"but, except",,alla,Particle,500,201 - 500
40,ἀνήρ,ἀνδρός,ὁ,a man,"polyandry, having many husbands",anēr,Noun,216,201 - 500
41,ἀποκρίνομαι,,,I answer,,apokrinomai,Verb,231,201 - 500
42,γῆ,γῆς,ἡ,the earth,geopolitics,gē,Noun,250,201 - 500
43,γινώσκω,,,"I come to know, learn, know, realize",,ginōskō,Verb,222,201 - 500
44,γυνή,γυναικός,ἡ,"a woman, wife","misogynist, a woman-hater [μισέω]",gynē,Noun,215,201 - 500
